47,Sports World,NULL,"Mangal city, F-109,1st Floor, Mangal City Service Rd, Vijay Nagar, Indore, Madhya Pradesh 452010",22.7523,75.8956,NULL,0731 400 2728,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunday",1899-12-30,1899-12-31,NULL
48,Champion Muathai Fitness Club,NULL,"2nd floor Kalyan tower, Annapurna Rd, above Surbhi sweets, Indore, 452009",22.6917,75.8381,NULL,099933 12425,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunday",1899-12-30,1899-12-31,NULL
49,Indore Corpration Yogasna Sport Association,NULL,"water tank, 320/1, krishna bagh colony, Airport Rd, behind palhar nagar, Indore, Madhya Pradesh 452005",22.7264,75.8178,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunday",1899-12-30,1899-12-31,NULL
50,Malwa Motor Sports Club,NULL,"32, Shanti Nagar, Shrinagar Ext. Khajrana Road, Indore, 452001",22.7291,75.8959,NULL,0731 406 3095,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday",1899-12-30,1899-12-31,NULL
51,Happy Wonderers Club,NULL,"Shanti Path, Shivaji Market, Sabnis Bagh, Indore GPO, Indore, Madhya Pradesh 452007",22.678,75.889,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunday",NULL,NULL,NULL
52,Bhaskar Cricket Academy,NULL,"Late Lakshman Singh Gour Khel Sankul, Dravid Nagar, Indore, Madhya Pradesh 452001",23.45,77.66,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday",1899-12-30,1899-12-31,NULL
53,Arambh Adventures,NULL,"PV46+72W, Palsikar Colony, Indore, Madhya Pradesh 452007",23.777,75.666,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunday",NULL,NULL,NULL
54,TURF Club,NULL,"Yeshwant Plaza, Terrace Station Road, behind TI Next Mall, Indore, Madhya Pradesh 452001",22.456,76.256,NULL,099930 22345,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunday",1899-12-30,1899-12-31,NULL
55,Gymnastic Training Center,NULL,"10/B RAJBHAG, scheme no. 51,(commercial, Sangam Nagar, Indore, Madhya Pradesh 452006",NULL,NULL,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunday",NULL,NULL,NULL
56,Refit Indore,NULL,"51/1 Banshidham, main road, Patnipura Square, Indore, Madhya Pradesh 452001",NULL,NULL,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunday",NULL,NULL,NULL
57,Decathalon Indore,NULL,"Khasra No. 199, Khasra No. 198/2/4 and Khasra no. 197/1/2, Village, Indore Bypass Rd, opposite to Water Lily hotel, Nipania, Indore, Madhya Pradesh 452010",NULL,NULL,NULL,095225 58390,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday",NULL,NULL,NULL
58,Lucky Wanderes Indore,NULL,"M. Shi. Vidya, Jail Road Kridasthal, Chiman Bag Ground, Nutan School, Indore GPO, Indore, Madhya Pradesh 452001",NULL,NULL,NULL,098261 12837,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday",1899-12-30,1899-12-31,NULL
59,Sports Zone,NULL,"L G 2, Gold Coin Plaza, Bhanwarkuwa Choraha, South Tukoganj, Indore, Madhya Pradesh 452001",NULL,NULL,NULL,098260 11142,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday",1899-12-30,1899-12-31,NULL
60,Aerobic and Gymnastic Fitness center Indore,NULL,"272 /D scheme no. 51, Sangam Nagar, Indore, Madhya Pradesh 452006",NULL,NULL,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday",1899-12-30,1899-12-31,NULL
61,Sports Point,NULL,"101, Nagar Nigam Road, Municipal Office Road, Jail Road, Topkhana, Nagar Nigam, Indore, Madhya Pradesh 452007",NULL,NULL,NULL,0731 253 8217,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday",1899-12-30,1899-12-31,NULL
62,Sports Center,NULL,"PV95+R3H, Risi Nagar, Tilak Path, Indore, Madhya Pradesh 452004",NULL,NULL,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunday",NULL,NULL,NULL
63,Pramod Soni Table Tennis Club and Equipments,NULL,"House No, 311, Seva Sardar Nagar, Indore, Madhya Pradesh 452001",NULL,NULL,NULL,098262 84388,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday",NULL,NULL,NULL
64,New Sports Point Indore,NULL,"G-3 Basement ,Times Square Building ,Puma Showroom, Tower Square, Indore, Madhya Pradesh 452010",NULL,NULL,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunday",NULL,NULL,NULL
65,Disha Sports,NULL,"71, Ushaganj Main Rd, Chhavani Chouraha, Ushaganj, Chhavani, Indore, Madhya Pradesh 452001",NULL,NULL,NULL,098930 52566,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunday",1899-12-30,1899-12-31,NULL
66,Yeshwant Club,NULL,"PVFG+HPV, Race Course Road, Indore, Madhya Pradesh 452003",NULL,NULL,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunday",1899-12-30,1899-12-30,NULL
67,City Sports,NULL,"B1 B2, opposite sky heights, Navlakha, Janki Nagar, Indore, Madhya Pradesh 452001",NULL,NULL,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunda",1899-12-30,1899-12-31,NULL
68,Fitness Planet Club,NULL,"Honda showroom, Bairasia Road, ke pass, Karond, Bhopal, Madhya Pradesh 462038",NULL,NULL,NULL,094253 68610,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunda",1899-12-30,1899-12-31,NULL
69,Z Fitness Club,NULL,"27, Old Saifia College Rd, Bhopal Talkies, Old Saifia College Road, Bhopal Talkies Rd, Loha Bazar, Peer Gate, Peer Gate Area, Bhopal, Madhya Pradesh 462001",NULL,NULL,NULL,0755 492 1908,NULL,NULL,1899-12-30,1899-12-31,NULL
70,Samrat Ashok Gym & Fitness Club,NULL,"Goswami Complex, Rajendra Nagar Rd, Krishna Nagar, CRWS, Nishatpura, Bhopal, Madhya Pradesh 462001",NULL,NULL,NULL,086022 89504,NULL,NULL,1899-12-30,1899-12-31,NULL
71,Aero Paint Ball,NULL,"8943+X4G, Near asharam ashram circle, abbas Nagar Opp lake Spring Colony., Bhopal, Madhya Pradesh 462030",NULL,NULL,NULL,088719 17000,NULL,NULL,NULL,NULL,NULL
72,Trailblazers Sports Arena,NULL,"Trailblazers International School premises, Bahar Manzil Ahmedabad Palace Compound, Gate No 1, Madhya Pradesh 462001",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,Evolution Fitness Center,NULL,"Madhaya Pradesh, G 1/26 2nd floor gulmohar colony near by aura mall Bhopal, Madhya Pradesh 9131112107, Bhopal, Madhya Pradesh 462016",NULL,NULL,NULL,090397 86451,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday",1899-12-30,1899-12-31,NULL
74,Flesh Fitness Club,NULL,"62-b Kasturba Nagar, Chetak Bridge, Maharana Pratap Nagar, Bhopal, Madhya Pradesh 462023",NULL,NULL,NULL,NULL,NULL,NULL,1899-12-30,1899-12-31,NULL
116,Public Sport Club Biaora,NULL,"WWC7+GR5, Biaora, Madhya Pradesh 465674",23.9186,76.9113,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75,WFC - World Fitness Center,NULL,"Shop no.1 First Floor, Opposite.CIAE Gate no.1, Near Nishatpura Thana, Berasia Road, Karond, Bhopal, Madhya Pradesh 462038",NULL,NULL,NULL,099260 33245,NULL,NULL,NULL,NULL,NULL
